Player,AVG SALARY
Stephen Curry,21410995.230769232
James Harden,22771817.0
John Wall,20659679.75
Russell Westbrook,22775948.785714287
Kevin Durant,23162299.733333334
LeBron James,23350785.05263158
Paul George,19690243.833333332
Damian Lillard,20687508.8
Giannis Antetokounmpo,17395896.777777776
Kawhi Leonard,18618970.818181816
Klay Thompson,18102760.636363637
Jimmy Butler,17626113.181818184
Tobias Harris,16956322.90909091
Khris Middleton,16884435.3
Anthony Davis,20412082.9
Rudy Gobert,16254136.111111112
Kyrie Irving,19438995.636363637
Kemba Walker,15662889.818181818
Bradley Beal,19302918.9
Pascal Siakam,12029219.666666666
Ben Simmons,15708646.5
Blake Griffin,21807617.230769232
Kristaps Porzingis,16051157.857142856
Devin Booker,14663181.714285715
Karl-Anthony Towns,17172775.57142857
Joel Embiid,17733701.5
Andrew Wiggins,18419790.625
Kevin Love,18699512.785714287
Jrue Holiday,15696138.153846154
Nikola Jokic,17636687.85714286
CJ McCollum,17482642.222222224
Chris Paul,21830879.647058822
D'Angelo Russell,16386999.714285715
Gordon Hayward,18913360.333333332
Brandon Ingram,14035626.166666666
Jamal Murray,12342188.833333334
Donovan Mitchell,8739577.6
De'Aaron Fox,10886378.2
Bam Adebayo,8621566.0
Jayson Tatum,12065237.4
Al Horford,17973865.266666666
Kyle Lowry,14845953.375
Jaylen Brown,12748997.0
DeMar DeRozan,17000640.076923076
Draymond Green,14075061.0
Nikola Vucevic,13097806.545454545
Buddy Hield,11113467.666666666
John Collins,6967459.4
Malcolm Brogdon,11473080.333333334
Tim Hardaway Jr,11822496.444444444
Mike Conley,16860376.533333335
Gary Harris,10867226.625
Danilo Gallinari,13998413.57142857
Harrison Barnes,16047292.3
Jerami Grant,7968128.875
Jarrett Allen,6147172.6
Julius Randle,10549098.5
Fred VanVleet,10564072.833333334
Zach LaVine,11578472.75
Goran Dragic,11957595.357142856
Spencer Dinwiddie,6086375.125
Bojan Bogdanovic,11272073.625
Lonzo Ball,10893765.0
Domantas Sabonis,8593060.333333334
Eric Gordon,12601057.42857143
Eric Bledsoe,11630115.25
Myles Turner,9663880.142857144
Bogdan Bogdanovic,13245219.0
Terry Rozier,9806817.714285715
Ricky Rubio,12101556.727272727
Clint Capela,9793216.5
Caris LeVert,7128377.0
Jonathan Isaac,8263907.4
Joe Harris,7022381.25
Evan Fournier,11732205.9
Steven Adams,15300382.333333334
Markelle Fultz,11314708.6
Aaron Gordon,12522901.25
Gary Trent Jr,5096371.5
OG Anunoby,5300608.0
Davis Bertans,8141624.333333333
Lauri Markkanen,7507457.6
Derrick White,4961255.2
Duncan Robinson,4747435.25
Marcus Morris,7269738.909090909
Will Barton,7093357.6
