Player,2021/22,2021/22(*),2020/21,2020/21(*),2019/20,2019/20(*),2018/19,2018/19(*),2017/18,2017/18(*),2016/17,2016/17(*),2015/16,2015/16(*),2014/15,2014/15(*),2013/14,2013/14(*),2012/13,2012/13(*),2011/12,2011/12(*),2010/11,2010/11(*),2009/10,2009/10(*),2008/09,2008/09(*),2007/08,2007/08(*),2006/07,2006/07(*),2005/06,2005/06(*),2004/05,2004/05(*),2003/04,2003/04(*),2002/03,2002/03(*),2001/02,2001/02(*),2000/01,2000/01(*),1999/00,1999/00(*),1998/99,1998/99(*),1997/98,1997/98(*),1996/97,1996/97(*)
Stephen Curry,"$45,780,966","$45,780,966","$43,006,362","$45,325,029","$40,231,758","$42,674,629","$37,457,154","$40,386,520","$34,682,550","$38,468,739","$12,112,359","$13,654,081","$11,370,786","$12,945,956","$10,629,213","$12,116,632","$9,887,642","$11,504,868","$3,958,742","$4,687,047","$3,117,120","$3,752,000","$2,913,840","$3,632,136","$2,710,560","$3,414,335",,,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,"$44,310,840","$44,310,840","$41,254,920","$43,479,158","$38,199,000","$40,518,442","$30,570,000","$32,960,751","$28,299,399","$31,388,759","$26,540,100","$29,918,259","$15,719,062","$17,896,589","$14,693,906","$16,750,126","$13,668,750","$15,904,415","$5,820,416","$6,891,221","$4,604,760","$5,542,635","$4,304,520","$5,365,636","$4,054,160","$5,106,790",,,,,,,,,,,,,,,,,,,,,,,,,,
John Wall,"$44,310,840","$44,310,840","$41,254,920","$43,479,158","$38,199,000","$40,518,442","$19,169,800","$20,668,989","$18,063,850","$20,035,826","$15,756,438","$17,761,997","$14,728,844","$16,769,198","$13,701,250","$15,618,561","$7,459,924","$8,680,071","$5,915,880","$7,004,248","$5,530,080","$6,656,420","$5,144,280","$6,412,407",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Westbrook,"$44,211,146","$44,211,146","$41,358,814","$43,588,654","$38,506,482","$40,844,595","$35,665,000","$38,454,209","$28,299,399","$31,388,759","$26,540,100","$29,918,259","$16,744,218","$19,063,757","$15,719,062","$17,918,740","$14,693,906","$17,097,246","$13,668,750","$16,183,445","$5,082,416","$6,117,578","$4,017,720","$5,008,136","$3,755,640","$4,730,762","$3,493,680","$4,337,997",,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,"$42,018,900","$42,018,900","$40,108,950","$42,271,404","$37,199,000","$39,457,722","$30,000,000","$32,346,173","$25,000,000","$27,729,174","$26,540,100","$29,918,259","$21,971,850","$25,015,562","$19,997,513","$22,795,904","$18,773,176","$21,843,723","$17,548,838","$20,777,369","$15,506,632","$18,664,950","$6,053,663","$7,545,963","$4,796,880","$6,042,352","$4,484,040","$5,567,697","$4,171,200","$5,439,344",,,,,,,,,,,,,,,,,,,,,,
LeBron James,"$41,180,544","$41,180,544","$39,219,566","$41,334,069","$37,436,858","$39,710,023","$35,654,150","$38,442,511","$33,285,709","$36,919,409","$30,963,450","$34,904,635","$22,970,500","$26,152,553","$20,644,400","$23,533,315","$19,067,500","$22,186,187","$17,545,000","$20,772,824","$16,022,500","$19,285,887","$14,500,000","$18,074,424","$15,779,912","$19,877,042","$14,410,581","$17,893,184","$13,041,250","$17,006,102","$5,828,090","$7,804,183","$4,621,800","$6,456,167","$4,320,360","$6,187,794","$4,018,920","$5,944,063",,,,,,,,,,,,,,
Paul George,"$39,344,970","$39,344,970","$35,450,412","$37,361,703","$33,005,556","$35,009,652","$30,560,700","$32,950,723","$19,300,000","$21,406,922","$18,100,000","$20,403,860","$16,900,000","$19,241,120","$15,800,000","$18,011,004","$3,282,003","$3,818,808","$2,574,120","$3,047,691","$2,406,240","$2,896,331","$2,238,360","$2,790,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,"$39,344,900","$39,344,900","$31,626,953","$33,332,104","$29,802,321","$31,611,917","$27,977,689","$30,165,706","$26,153,057","$29,008,107","$24,328,425","$27,425,070","$4,236,286","$4,823,129","$3,340,920","$3,808,438","$3,202,920","$3,726,790","$3,065,040","$3,628,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,"$39,344,900","$39,344,900","$27,528,088","$29,012,251","$25,842,697","$27,411,865","$24,157,304","$26,046,545","$22,471,911","$24,925,101","$2,995,420","$3,376,692","$1,953,960","$2,224,637","$1,873,200","$2,135,329","$1,792,560","$2,085,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawhi Leonard,"$39,344,900","$39,344,900","$34,379,100","$36,232,632","$32,742,000","$34,730,093","$23,114,066","$24,921,719","$18,868,625","$20,928,455","$17,638,063","$19,883,125","$16,407,500","$18,680,395","$3,053,368","$3,480,647","$1,991,760","$2,317,532","$1,861,920","$2,204,464","$1,731,960","$2,084,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klay Thompson,"$37,980,720","$37,980,720","$35,361,360","$37,267,850","$32,742,000","$34,730,093","$18,988,725","$20,473,753","$17,826,150","$19,772,177","$16,663,575","$18,784,599","$15,501,000","$17,648,319","$3,075,880","$3,506,309","$3,245,151","$3,775,929","$2,222,160","$2,630,979","$2,126,520","$2,559,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Butler,"$36,016,200","$36,016,200","$34,379,100","$36,232,632","$32,742,000","$34,730,093","$19,841,627","$21,393,357","$18,696,918","$20,738,004","$17,552,209","$19,786,343","$16,407,500","$18,680,395","$2,119,214","$2,415,770","$1,174,080","$1,366,112","$1,097,520","$1,299,435","$1,020,960","$1,228,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Harris,"$35,995,950","$35,995,950","$34,358,850","$36,211,290","$32,742,000","$34,730,093","$14,800,000","$15,957,445","$16,000,000","$17,746,671","$17,200,000","$19,389,303","$16,000,000","$18,216,444","$2,511,432","$2,862,874","$1,630,800","$1,897,534","$1,524,480","$1,804,944","$1,418,160","$1,707,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khris Middleton,"$35,500,000","$35,500,000","$33,051,724","$34,833,691","$30,603,448","$32,461,689","$13,000,000","$14,016,675","$14,100,000","$15,639,254","$15,200,000","$17,134,733","$14,700,000","$16,736,358","$915,243","$1,043,319","$788,872","$917,900","$473,604","$560,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,"$35,361,360","$35,361,360","$32,742,000","$34,507,269","$27,093,019","$28,738,106","$25,434,263","$27,423,369","$23,775,506","$26,371,006","$22,116,750","$24,931,882","$7,070,730","$8,050,222","$5,607,240","$6,391,900","$5,375,760","$6,255,021","$5,144,280","$6,090,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
