Player,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97
Stephen Curry,45780966.0,45325029.0,42674629.0,40386520.0,38468739.0,13654081.0,12945956.0,12116632.0,11504868.0,4687047.0,3752000.0,3632136.0,3414335.0,,,,,,,,,,,,,
James Harden,44310840.0,43479158.0,40518442.0,32960751.0,31388759.0,29918259.0,17896589.0,16750126.0,15904415.0,6891221.0,5542635.0,5365636.0,5106790.0,,,,,,,,,,,,,
John Wall,44310840.0,43479158.0,40518442.0,20668989.0,20035826.0,17761997.0,16769198.0,15618561.0,8680071.0,7004248.0,6656420.0,6412407.0,,,,,,,,,,,,,,
Russell Westbrook,44211146.0,43588654.0,40844595.0,38454209.0,31388759.0,29918259.0,19063757.0,17918740.0,17097246.0,16183445.0,6117578.0,5008136.0,4730762.0,4337997.0,,,,,,,,,,,,
Kevin Durant,42018900.0,42271404.0,39457722.0,32346173.0,27729174.0,29918259.0,25015562.0,22795904.0,21843723.0,20777369.0,18664950.0,7545963.0,6042352.0,5567697.0,5439344.0,,,,,,,,,,,
LeBron James,41180544.0,41334069.0,39710023.0,38442511.0,36919409.0,34904635.0,26152553.0,23533315.0,22186187.0,20772824.0,19285887.0,18074424.0,19877042.0,17893184.0,17006102.0,7804183.0,6456167.0,6187794.0,5944063.0,,,,,,,
Paul George,39344970.0,37361703.0,35009652.0,32950723.0,21406922.0,20403860.0,19241120.0,18011004.0,3818808.0,3047691.0,2896331.0,2790142.0,,,,,,,,,,,,,,
Damian Lillard,39344900.0,33332104.0,31611917.0,30165706.0,29008107.0,27425070.0,4823129.0,3808438.0,3726790.0,3628927.0,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,39344900.0,29012251.0,27411865.0,26046545.0,24925101.0,3376692.0,2224637.0,2135329.0,2085751.0,,,,,,,,,,,,,,,,,
Kawhi Leonard,39344900.0,36232632.0,34730093.0,24921719.0,20928455.0,19883125.0,18680395.0,3480647.0,2317532.0,2204464.0,2084717.0,,,,,,,,,,,,,,,
Klay Thompson,37980720.0,37267850.0,34730093.0,20473753.0,19772177.0,18784599.0,17648319.0,3506309.0,3775929.0,2630979.0,2559639.0,,,,,,,,,,,,,,,
Jimmy Butler,36016200.0,36232632.0,34730093.0,21393357.0,20738004.0,19786343.0,18680395.0,2415770.0,1366112.0,1299435.0,1228904.0,,,,,,,,,,,,,,,
Tobias Harris,35995950.0,36211290.0,34730093.0,15957445.0,17746671.0,19389303.0,18216444.0,2862874.0,1897534.0,1804944.0,1707004.0,,,,,,,,,,,,,,,
Khris Middleton,35500000.0,34833691.0,32461689.0,14016675.0,15639254.0,17134733.0,16736358.0,1043319.0,917900.0,560734.0,,,,,,,,,,,,,,,,
Anthony Davis,35361360.0,34507269.0,28738106.0,27423369.0,26371006.0,24931882.0,8050222.0,6391900.0,6255021.0,6090694.0,,,,,,,,,,,,,,,,
Rudy Gobert,35344828.0,29009293.0,26792118.0,25328750.0,23541757.0,2391295.0,1338772.0,1285164.0,1255248.0,,,,,,,,,,,,,,,,,
